type,G,GR,GT,L,LR,LT,R,G,GR,GT,L,LR,LT,R
T21,0.6235,0.5422,0.6203,0.5699,0.4459,0.5581,0.5312,0.1648,0.2266,0.1947,0.1993,0.2626,0.2065,0.1964
T22,0.1649,0.1868,0.1585,0.1099,0.1268,0.1807,0.093,0.5075,0.4752,0.5035,0.508,0.4903,0.5162,0.5401
